"[두근거림을 주는 울림] ‘삼성’이라는 두 글자의 브랜드 가치는 대한민국 국민 모두에게 믿음과 신뢰를 느끼게 해주는 단어입니다. 여기에 ‘중공업’이라는 세 글자는 저에게 도전과 열정이라는 두근거림을 주는 울림과도 같습니다. 삼성중공업은 이러한 가치 속에 글로벌 초 일류회사를 지향하고 있습니다. 수십 년 전 조선 사업분야에서의 열정이 오늘날의 고부가가치 특수선 분야 1위의 삼성중공업을 만들었듯이, 자신에게 부족한 것을 채워 넣겠다는 열정을 가지고 삼성중공업의 가치와 목표를 함께 채워 넣겠습니다. 설계 엔지니어로서 기본이 구조설계, 구조해석, 기본설계 등의 수강을 통하여 어느 한 곳도 소홀히 하지 않으려 노력하였습니다. 또한, 선형과 의장부품 설계를 위해 솔라보트 동아리 설계팀장 자리를 맡아 AUTOCAD와 CATIA등 도면 작성 단계를 거쳐 제작현장까지 참여해 봄으로써 설계 인재로서 소중한 경험은 설계 업무에 빠른 적응력을 만들 것입니다. [Identity를 갖겠습니다] 저만의 Identity를 갖는 사람이 되겠습니다. 삼성중공업 설계 인재로서 경쟁력을 가질 수 있도록 설계 역량을 키우겠습니다. 해양, 조선의 기본설계를 탄탄히 다져 해외 엔지니어링 업체로 빠지고 있는 비용을 줄이고 싶습니다.                         634자1,069                    "
"[단점을 장점으로] 중학교 시절 집중력과 인내심이 약하다는 단점이 있었던 저는 공부를 잘하지 못했습니다 그래서 저는 저와 공부는 맞지 않는다고 생각하여 기술을 배우고자 공업계열 고등학교에 진학하였습니다 하지만 기술을 배운다 해도 공부가 필요하다는 것을 깨닫고 집중력과 인내심을 기를 수 있는 방법을 모색하였습니다 그리고 찾은 방법이 퍼즐이었습니다 퍼즐을 처음 시작할 때는 300조각으로 시작하게 됐습니다 비록 많은 조각 수는 아니었지만 저의 인내심과 집중력을 기르기에는 적절한 조각 수였습니다 그렇게 3시간이 걸려 완성을 하고 처음으로 한 가지 일을 포기하지 않고 끝냈다는 성취감이 들었습니다 그리고 더 많은 조각 수를 맞춰보고 싶어져 500조각에도 도전하여 6시간 동안 포기하지 않고 끝내면서 많은 성취감을 느끼고 퍼즐에 재미를 느껴 완전히 저의 취미가 되었습니다 그 이후에도 꾸준히 퍼즐을 하며 집중력과 인내심을 길러 공부에도 집중할 수 있게 되어 다수 자격증과 성적을 상위권으로 유지하게 되었습니다 이렇게 저의 단점이 점점 장점으로 바뀌게 되었습니다 또한 퍼즐을 하며 꼼꼼함이라는 장점도 생겼습니다 그리고 평소 귀찮게 여기던 봉사활동도 꾸준히 다니다 보니 많은 것을 경험하고 재밌어져 어느새 480시간이라는 시간이 채워졌습니다 그리고 학급 내 부실장을 맡으면서 자기 계발에도 충실하다 보니 자연스레 성실함이라는 장점도 생겨나게 되었습니다 이렇게 저의 부족한 점을 채워가며 꾸준히 발전하여 삼성전자에 이바지할 수 있는 사원이 되겠습니다.                         772자1,333                    "
"·초등학교에 입학한 이후 저의 생일마다 아버지는 저에게 레고를 선물로 주시곤 하셨습니다. 이후, 자연스레 조립에 흥미를 느끼게 되어 중학교에 입학한 이후에는 프라모델을 밤을 새워 완성해야 속이 후련할 정도로 푹 빠지게 되었습니다. 작은 부품들을 자르고 붙이며 마침내 완성된 작품을 볼 때의 성취감은 프라모델의 가장 큰 매력이었습니다. 이러한 활동은 지금의 삼례공업고등학교에 입학하게 되는 계기가 되었습니다. ·입학 후에는 자기계발을 위해 1학년 시절부터 기능사 자격증을 준비하고 전공동아리 활동을 시작했습니다. 하루 종일 실습을 하며 방과 후에는 동아리 활동까지, 3년간 꿈을 향해 달려오면서 육체적으로 힘이 들었던 건 사실입니다. 그러나 지난 3년은 제 인생에 있어서 가장 즐거웠던 시절이라고 생각합니다. 꿈을 향해 한걸음 한걸음 나아가는 과정이 너무도 즐거웠고 그런 자신에게 스스로 뿌듯하기까지 했습니다. ·이후, 전기과 실습장에서 친구를 기다리던 중 `칩저항`이라는 작은 칩을 발견하였습니다. 그제서야 주변에 작은 부품들을 납땜하고 있는 학생들이 눈에 들어왔고 칩저항처럼 작은 부품들이 모여 하나의 회로기판, 반도체소자, 컴퓨터부품들이 만들어 진다는 것을 알게 되었습니다. 그리고 이때에 전자분야로의 진로를 생각하게 되었습니다.                         650자1,122                    "
"[‘소통’은 나의 힘!] 다양한 연령대에 맞는 의사소통능력과 열정을 갖추고 있습니다. 지난 2년간 학교홍보위원으로 중학교 3학년 친구들의 눈높이에 맞추어 홍보를 진행해 우수한 홍보성적을 거둔 경험이 있습니다. 홍보위원은 각 중학교를 방문하여 프레젠테이션으로 인천중앙여자상업고등학교를 설명하고 학교 방문을 유도하는 역할을 맡았으며, 활동의 성공을 위해 수업이 끝난 후 5시부터 7시까지 거울을 보며 멘트를 연습하는 등 ‘열정’을 바탕으로 계획을 세우고 실천했습니다. 홍보가 끝났을 땐 100명 이상의 중학생 연락처를 받아 상담을 진행하였고 우수홍보위원으로 선발되어 ‘학교 둘러보기 임원’, ‘중앙 사이버 홍보단’으로 연이어 활동할 수 있었습니다. 또한, 학교 둘러보기 행사 중, 학부모 상담을 돕는 활동을 일주일간 진행하였으며 학부모님께서 다른 학교의 정보를 여쭤보시거나 학생과의 상담을 거부하시는 등 갑작스러운 상황에서도 유연하게 대처해 나갔습니다. 더 나아가, 요양원 봉사활동을 꾸준히 한 결과, 연령대가 높으신 분들과 함께할 때에도 스스럼없이 융화될 수 있었으며 다양한 연령대의 사람들과 소통하는 방법을 배울 수 있었습니다. 이처럼 의사소통능력을 바탕으로 팀에 잘 융화되고 열정적인 모습으로 정확하게 업무를 처리함으로써 긍정적인 분위기를 주도하는 신입사원이 되겠습니다. 반면에, 완벽한 성과를 추구하다 보니 열정이 과해 종종 스트레스를 받습니다. 하지만 이를 보완하기 위해 항상 휴식시간을 갖고 음악을 듣거나 상담을 통해 스트레스를 해소하려 노력하고 있습니다. 비록 열정으로 인해 스트레스를 받지만, 저의 꼼꼼하고 열정적인 업무처리능력은 삼성화재에서 업무를 성공적으로 마칠 수 있도록 뒷받침할 수 있다고 자부합니다. 또한, 이처럼 단점을 보완하여 팀 내에서 긍정적인 영향을 미치는 신입사원이 되겠습니다.                         925자1,598                    "
"[불가능하다고 하는 것은 정말 불가능한 것이 아니라 가능하게 할 만큼 노력할 자신이 없는 것이다] 나태해지는 자신을 마주할 때마다 이 말을 되새기며 도전해 왔습니다. 금융3종 자격증이 폐지된다는 소식을 듣고 증권투자상담사 취득을 준비하였습니다. 당시 신입생으로서 어떠한 관련 지식도 없이 독학으로 취득하긴 힘들 것이라는 주변의 만류가 있었지만 스스로를 믿고 공부한 끝에 합격할 수 있었습니다.열심히 하는 제 모습을 본 친구들의 신뢰를 얻어 2학년에 올라가며 반장을 맡게 되었고 책임감을 가지고 성실히 임하여 댄스경연대회, 합창대회, 응원전 등 반전체가 참가해야하는 모든 행사에서 학급의 이름으로 입상할 수 있었습니다. 또한 시험기간마다 급우들이 가장 어려워하는 한국사와 세무과목을 정리해주며 학급성적향상을 위해 노력하였습니다. 반장을 하며 배운 조화와 봉사의 중요성을 바탕으로 혼자서 잘하는 것이 아닌 다함께 잘할 수 있게 이끌어내는 사원이 되겠습니다. [주인의식을 통한 성장] 친화력이 강하다는 장점이 있습니다. 낯을 가리지않고 거침이 없는 성격덕분에 쉽게 친해지는 모습을 지켜본 선생님께서 학교의 얼굴인 홍보부에 추천해주셨고 학교에 대한 주인의식을 바탕으로 중학교에 홍보를 나갈 때면 쉬는시간부터 반에 들어가서 앞자리 친구에게 말을 붙이곤 했습니다. 그 결과 우수홍보위원으로 선정되어 학교둘러보기 행사의 도우미로도 활동할 수 있었습니다. 이를 통해 부서내 소통을 원활히 하는 사원이 되겠습니다. 때때로 성취지향적인 성격 탓에 큰 목표에 집중하다가 작은 것을 놓치게 되는 경우가 생기곤 합니다. 처음 반장을 맡으며 저의 이런 부주의함이 급우들에게 피해를 끼치게 될 것이라는 생각이 들어 스케줄러를 활용하며 주요사항을 수시로 공지를 해주었습니다. 현재 2년 째 이 습관을 유지하고 있으며 이러한 꼼꼼함을 바탕으로 작은 업무도 놓치지 않고 나아가 팀원들의 사소한 성향까지 세심히 챙기는 사원이 되겠습니다. [성적이라는 보험] 멘토-멘티 스터디를 한 경험이 있습니다. 하지만 멘티는 미용을 준비한다며 계속해서 스터디를 회피했습니다. 저는 물론 누구나 자기가 하고 싶어 하는 일을 할 수 있다면 공부를 하지 않아도 되지만 그렇지 않기 때문에 내가 원하는 일을 하지 못할 위험에 대비하여 성적이라는 보험을 들어놔야 한다고 설득하였습니다. 제 이야기를 듣고 멘티친구는 다른 과목도 도와줄 수 있는지 물어왔고 수학을 20점대에서 70점대로 올리는 등 멘티의 성적을 일약 향상시킬 수 있습니다. 제가 성적이라는 보험을 들어 놓은 것처럼 ‘혹시나’하는 일에 대비하기 위해서는 반드시 보험을 준비해야한다고 생각합니다. 이처럼 제 가족의 언제 발생할지 모르는 우연한 사고를 책임질 보험회사에서 고객 한분 한분을 제 가족처럼 생각하는 자세로 기업과 고객 모두가 윈-윈할 수 있도록 적극 지원하고 싶다는 생각을 하였고 보험설계사 일을 하셨던 저희어머니처럼 수많은 보험설계사인 어머니들에게 ‘딸’같은 마음으로 서포트해 드리고 싶은 마음에 지원하게 되었습니다. 건재함을 지닌 최고의 기업 삼성의 계열사 삼성화재에 입사하여 삼성에 대한 프라이드를 바탕으로 뛰어난 기업 삼성에 걸맞는 뛰어난 인재가 되겠습니다. [실패를 두려워 할 시간에 어떻게 하면 성공할 수 있을지 연구하자] 생각하는 것에 그치지 않고 항상 시도하려고 노력하였고 또한 시도에 그치지 않고 성취하고자 하였습니다. 입사 후에는 첫째, 일 잘하는 막내가 되겠습니다. 시키지 않아도 알아서 업무를 수행하며 상사 분들의 가려운 곳을 긁어드리겠습니다. 둘째, ‘탈’고졸이 되겠습니다. 자신을 과소평가하며 할 수 있는 업무의 범위를 스스로 한정짓지 않을 것이고 본인의 실수에 대해 고졸이라는 변명아래 타협하지 않는 책임지는 사원이 되겠습니다. 셋째, 최선을 다해서를 넘어 최고의 결과를 만들겠습니다. 이를 위해 주어지는 모든 업무에 감사하며 배우는 자세로 빠르게 업무를 숙지하여 항상 ‘결과’로 보여드리는 사원이 되겠습니다. [작은 물방울이 모여 바다가 된다] 저의 꿈은 삼성화재를 통해서 저를 알게 된 모든 분들의 신임을 받는 것입니다. 이를 위해 3년간 끊임없이 자기계발을 하였고 이제는 물방울들이 모여 보험회사에 입사할 준비가 되었다고 자부할 수 있습니다. 금융기관간의 경계가 모호해지면서 보험회사 역시 사업영역을 확장하고 있습니다. 이를 위해 보험을 포함한 여러 금융상품을 다루는 펀드투자상담사, 은행텔러, 틴매경테스트 등의 자격증을 취득하고, 금융/경제에 대한 흐름을 이해하기 위해 뉴스 필사 스터디 ‘여조삭비’와 금융경제 용어 학습 동아리 ‘펀이코노미’에 동아리장으로 참여하며 전문성을 갖추었습니다. 또한 청소년운영위원회에 기획부장으로 참여하고 있습니다. 기획부의 대표업무로는 모니터링을 꼽을 수 있습니다. 올해는 아직 해결되지 않은 장기 과제를 마무리하고 전년도에 진행했던 리모델링이 계획대로 되었는지 확인하는 것을 목표로 모니터링을 준비하였습니다. 하지만 시설 점검에 있어서 시설을 직접 사용하는 청소년들에게 설문지를 배부하자는 쪽과 설문지를 회수하는 과정이 복잡하니 시험기간이 다가오는 만큼 위원회안에서 약식으로 보고서를 작성하자는 쪽으로 의견이 나뉘었습니다. 양쪽 모두 일리가 있기 때문에 부장으로서 어느 쪽에 손을 들어주기 보다 두 의견을 종합한 절충안을 마련하는 것이 바람직하다고 생각했습니다. 설문지보다는 회람지를 작성하고 위원회끼리 시설을 순회하여 회람지를 토대로 보고서를 만들자고 의견을 내며 양쪽의 의견을 모두 반영하고자 하였고 그 결과 모두 동의해주어 성공적으로 모니터링을 마칠 수 있었습니다. 이를 통해 어느 한쪽에 의견에 치중하여 결론을 짓는 것이 아닌 모두가 동의할 수 있는 중재안을 마련하는 것이 팀워크를 유발한다는 것을 느꼈습니다. 업무에 있어서도 공정한 판단을 내리는 ‘뚫어뻥’같은 사원이 되겠습니다. 입사 후에도 멈추지 않고 자기계발에 최선을 다하겠습니다. 오프라인에서 온라인으로 변화하고 있는 추세에 발맞추기 위해 끊임없이 발전하는 핀테크에 대한 관심을 놓치 않고 정확히 이해하겠습니다. 그 결과 10년 후 고객분들과 팀동료에게 도움을 드릴 수 있는 ‘보험전문가’가 되겠습니다                         3,097자5,340                    "
"[성장할 수 있는가]저는 회사를 선택할 때 두 가지 기준이 있습니다. 첫째, 회사가 지속해서 성장할 수 있는지 생각합니다. 삼성그룹은 현재와 미래의 트렌드를 빠르게 읽어내고, 그에 맞게 빠른 변화를 추구하여 시장을 선도하는 기업입니다. 그룹 내에서 삼성 물산의 리조트부문은 사람들에게 행복한 경험을 전달해주는 역할을 수행합니다. VR기술이 대두되고 있고, 이 때문에 미래에는 일정 부분 삼성물산 리조트부문의 수요가 잠식될 것이라는 우려도 있습니다. 하지만 리조트 부문은 에버랜드X기어VR 콜라보의 사례와 같이 우려사항을 기회로 바꾸었습니다. 이처럼 시장의 트렌드를 통해 지속적으로 성장할 수 있는 삼성그룹, 그 속에서도 약점이 될 수 있는 부분을 기회로 만들어 지속적인 성장 포인트를 만들어내는 삼성물산 리조트 이기 때문에 지원하게 되었습니다 1.둘째, 조직에서 자신이 성장할 수 있는지를 생각합니다. 일반적인 제조기업에서는 조직이 워낙 방대하기에 제가 가진 역량을 온전히 활용할 수 없습니다. 하지만, 역동적인 산업환경을 지닌 삼성물산에서는 제가 가진 역량을 통해 사업을 바꿀 수 있는 힘을 가지고 있다고 생각합니다. 때문에 삼성물산에 입사한다면 더욱 즐겁고, 빠르게 자신을 성장시킬 수 있다고 믿습니다.  앞으로도 제가 속한 삼성물산 리조트부문이 지속적인 성장을 누릴 수 있게 조직에서 빠르게 성장하여 도움이 되는 인재가 되겠습니다.                         711자1,217                    "
"(꿈을 위해 근거있는 자신감을 쌓아가다) 대학교 시절 고체역학과 유체역학의 강의를 들으며 중공업에 관심을 가지게 되었습니다. 고체역학에서는 구조물의 응력과 재료의 변형을 배우고 유체역학에서는 배의 추진력이나 부력을 구하는 내용들을 배우면서 매력을 느꼈고 중공업으로 진로를 결정하였습니다. 그리고 고기술, 고부가가치선 시장을 선도하고 친환경 선박에도 지속적인 개발을 하는 삼성중공업이 큰 성장 동력을 가진 기업이라고 생각하였습니다. 그리고 우리나라 경제발전에도 기여하는 삼성중공업을 목표로 준비하였습니다. 삼성중공업에 입사하여 단기적으로는 오랜 경험을 가진 선배님들과 근무하며 현장업무의 노하우를 배우겠습니다. 그리고 직원분들과 신뢰를 쌓아 뛰어난 팀워크를 만들어낼 준비를 하겠습니다. 그리고 장기적으로는 삼성중공업의 원천기술을 확보하고 삼성중공업의 조선사업의 핵심인 드릴십, LNG선, FPSO 등 고기술, 고부가가치 제품 분야의 독보적인 경쟁률을 확보하도록 최선을 다하겠습니다. 그리고 꾸준한 원가절감과 기술혁신을 통해서 신제품 개발과 신시장 개척에도 앞장서는 삼성중공업을 만들겠습니다. 미래의 엔지니어로서 삼성중공업에서 지속적인 기술발전과 뛰어난 제품으로 인류사회에 공헌하면서 뿌듯함을 느끼기 위해 지원하였습니다. 삼성중공업에 입사하여 삼성중공업에 애정을 느끼고 멈추지 않는 도전과 열정으로 삼성중공업의 최고의 신입사원이 되겠습니다.                         714자1,248                    "
"[Give it a try!] ‘남에게 도움만 받지 말고 받은 만큼 베풀 줄도 알아라’라는 부모님의 말씀을 실천하기 위해 악기를 배운 사람들끼리 모여 오케스트라를 구성하고 무료로 공연하는 재능기부를 하기로 했습니다. 그 당시에는 제게 재능기부라는 게 생소했는데 선생님께서 추천해주셔서 일주일에 2번씩 레슨을 받고 2주일에 한 번씩 모여서 연주를 맞췄습니다. 그렇게 연습한 결과 저는 2년간 관악산철쭉제 드림콘서트, 어르신들을 위한 크리스마스 이브 행사 공연, 벼룩시장 공연, 2012 여수 엑스포 아시아주니어오케스트라 콘서트 등 다양한 공연을 통해 많은 사람에게 재능기부를 할 수 있었습니다. 여러 행사 공연을 하면서 밝은 미소를 보내시며 응원하시는 모습을 보고 기부로만 끝나는 것이 아닌 다른 사람에게 도움을 줄 수 있는 사람이 될 수 있었다는 것에 큰 희열을 느꼈습니다. 또한, 2년 동안 오케스트라를 해오면서 한 명이 틀리면 몇십 명이 틀리는 것처럼 들릴 듯이 저 자신과 남들과의 호흡을 중요시하게 되었고 덕분에 협동심도 기를 수 있었습니다. 저의 장점은 주어진 일을 꼼꼼히 하여 기간을 어기지 않는다는 것이 장점입니다. 중학교 때부터 지금까지 숙제를 내는 기간은 한 번도 어긴 적이 없었고 약속 시간도 중요하다고 생각해 고등학교 내내 지각을 하지 않았습니다. 허나 저는 긴장하거나 흥분을 하면 말이 빨라지는 단점이 있습니다. 지금까지 말이 빠르다는 것을 인지하지 못했었는데 주변 친구들이 저의 모습을 보고 말이 빠르다며 언급해주었습니다. 그 때부터 진로 선생님의 도움을 받아 단점을 극복하기 위해 여러 방법을 시도했습니다. 평소에 책을 입으로 읽는 연습을 하거나 발표하기 전날에 제 목소리를 녹음하며 조금이라도 천천히 말하려고 노력했습니다. 발표할 때는 연습할 때와 달리 갑자기 빨라질 수 있는 상황에 대비해 친구와 저만의 신호를 정했고 숨 크게 쉬기 등과 같은 방법을 실천했습니다. 이렇게 단점을 인지하며 노력한 결과 작년보다 말의 속도를 조금 더 늦출 수 있게 되었고 발표에 자신감이 생겼습니다. 장점은 극대화하고 단점은 최소한으로 하여 삼성화재에서 크게 한 건을 터뜨릴 삼성인이 될 것입니다.                         1,100자1,866                    "
"다양한 SW설계 프로젝트 통해 ‘코더가 아닌 엔지니어’가 되기 위한 소양을 갖췄습니다. 이를 바탕으로 인도 웹 프로젝트 인턴십을 통해 소통과 협업을 배웠고, 졸업프로젝트 주제로서 CoAP프로토콜을 활용한 신뢰성 있는 사물인터넷을 구현함으로써 IOT 프로젝트에 대한 역량을 쌓았습니다.                         162자275                    "
"[지원 이유]홈 IoT 졸업프로젝트를 하며 앞으로 다가올 IoT 시장의 가장 큰 먹거리는 바로 자동차라고 생각했고 관련 산업에 매력을 느꼈습니다. 여러 회사 중 저는 삼성전자가 `도전적인 회사`이기 때문에 지원했습니다. 삼성전자는 글로벌 시장의 안정적인 사업자라는 것에 안주하지 않고 최근 `커넥티드 오토`를 통해 다양한 사업 협력 기회를 만들며 자동차 사업자들을 바짝 추적하며 위협하고 있습니다. 저는 현실에 안주하지 않는 도전적인 삶을 원합니다. 그런 저에게는 치열하게 도전하는 삼성전자가 가장 매력적으로 다가왔고 그 중 무선사업부 내 커넥티드카 SW 개발 업무를 하고 싶습니다. 제가 가장 매력을 느끼는 분야고 기업의 최전방에서 도전에 따른 성과를 확인하며 발전할 수 있는 직무이기 때문에 지원하게 되었습니다.[이루고 싶은 꿈]저는 차량 관련 SW 엔지니어가 되는 것이 꿈입니다. 많은 나라에서 자동차로 여행을 다니며 즐거움을 느꼈고 끊임없는 혁신으로 차량을 더 똑똑하게 만들고 싶다는 열정과 사명감이 있기 때문입니다. 삼성전자에 입사하여 제가 개발한 어플리케이션으로 차량과 연결된 스마트폰이 자동으로 사용자에게 알맞은 서비스를 제공해주는 일을 하고 싶습니다. 커넥티드카 SW 품질과 서비스 경쟁력을 높이는데 기여하며 제 꿈에 도전하는 것이 저의 궁극적인 목표입니다.                         684자1,160                    "
"소통하면서 개발을 하기 위해 삼성전자에 지원했습니다. SW개발은 창의성 발현에서 동료와의 커뮤니케이션이 중요한 역할을 합니다. 예를 들어 서로의 지혜를 더하는 ‘마인드 스토밍’과 같은 팀워크가 있을 것입니다. 사람과 어울리는 능력이 굉장히 중요하기에 주변과 조화를 이룰 수 있는 능력이 없다면 아무리 뛰어난 실력도 무용지물일 것입니다. 창의성은 개인 안에 있는 것이 아니라, 우리 사이에 존재합니다. 창의성 발현을 위해 소통이 밑바탕이 된 기업, 이러한 토대가 잘 선 기업이야말로 함께 할 수 있는 기업입니다. 삼성전자는 `스타트업 삼성 컬처혁신 선포식`을 열고, 지난 20년동안 유지해 온 ‘사원-대리-과장-차장-부장’으로 이뤄진 5단계 직급체계를 ‘사원-선임-책임-수석’의 4단계로 축소한다는 기사를 봤습니다. 직무 위주의 수평적 관계로 창의성을 높이겠다는 전략은 좋은 인프라이기에 삼성취업을 선택했습니다.초기에는 오로지 현재의 기술을 완벽하게 익히는 데 초점을 둘 것입니다. 연차가 쌓이면 소규모 팀을 이뤄 신기술을 개발하겠습니다. 인공지능 수업에서 했던 과제가 있었는데, 다중 신경망에서 데이터를 입력하고 학습시켜 원하는 결과에 이르도록 하는 과제였습니다. 3000만 개의 기보를 알파고에게 학습시켰듯이, 각종 정보를 모듈에 주입시켜 고객맞춤형 SW를 만들고 싶습니다.                         690자1,169                    "
"저는 현재 화려하지는 않지만 성실하고 꾸준한 사람으로 성장했다고 생각합니다.제가 이렇게 성장하기까지의 배경은 아버지의 영향을 많이 받았습니다. 저희 아버지는 어려서 부모님을 여의셨지만 노력으로 자수성가하셔서 삼성전자의 창립멤버로써 20년 이상을 재직하신 분입니다. 이런 아버지께 제가 어렸을 때부터 가장 많이 들었던 말씀은 ‘남에게 부끄럽지 않게 정직하고 성실하게 살아라’라는 말이었습니다. 그래서 저는 학생으로서 먼저 저에게 주어진 공부를 성실하게 했습니다. 어렸을 때부터 본분을 잊지 않고 공부하여 우수한 성적으로 OOOO고등학교라는 전국적으로 유명한 사립고에 입학할 수 있었습니다. 고등학교가 저희 집에서 멀었기 때문에 학교 근처의 방에서 자취를 했습니다. 고등학생이면 아직 방황하기 쉬운 나이임에도 불구하고 저는 엇나가지 않고 꾸준히 성실하게 공부를 해서 좋은 대학교에 입학할 수 있었습니다.성인이 되어 대학교에 입학해서는 다른 경험을 해보고 싶었습니다. 대학교에서만 할 수 있는 미식축구 동아리에 가입해서 1년 동안 활동해보기도 했고, 고등학교에서는 경험할 수 없었던 술을 통해서 술자리에서 다양한 사람들을 만나고 친해지는 것 또한 재미있었습니다. 그래서 군대에 입대하기 전까지 저는 잠시 제 본분을 잊고 학업에 소홀했습니다.입대해서 약 2년의 군생활 동안 가장 크게 배운 것은 인내심과 다양한 사람들과의 소통이었습니다. 힘들어도 주먹 꽉 쥐고 참았으며, 공통점 없는 사람들이 모인 집단인 만큼 함께 조화롭게 생활하기 위해 서로의 의사소통은 더 중요했습니다. 그렇게 군대를 제대했을 때는 사회인으로써 한 뼘 더 성장하였습니다.제대하고 복학해서는 제가 이 사회에 쓰임이 될 수 있는 사람이 되기 위해 전공공부에 가장 많은 시간을 쏟았습니다. 현재의 놀라운 기술발전을 이루게 한 반도체는 제게 매력적으로 다가왔습니다. 그래서 저는 반도체 관련 과목은 전부 수강할 정도로 관심 있게 공부했습니다. 하지만 저학년 때 기초를 다져놓지 못해서 공부에 상당한 어려움을 겪기도 하였습니다. 이 때 제가 깨달은 것은 제가 해야 할 본분을 제대로 하지 않으면 결국 모든 불이익은 저에게 돌아오고, 정체성이 흐릿해질 수 있다는 것을 느꼈습니다.저는 4학년 겨울방학 때 LG전자에서의 2달간의 인턴십으로 신입사원으로서의 Attitude를 배울 수 있었습니다. 회사는 앉아있으면 알아서 가르쳐주는 학교가 아니라는 것을 느꼈습니다. 제가 맡은 위치에서 한 사람의 몫을 해내기 위해 직접 발로 뛰고, 선배님들에게 묻고, 스스로 제 역량을 키워야 하는 가장 중요한 신입의 자세를 경험했습니다.앞으로의 제 미래는 삼성전자에 입사해 최단기간 내에 전력이 되기 위한 신입사원의 자세로써 임할 것입니다. 대학생활에서 겪었던 한 번의 방황은 더 이상 제게 방황하지 않을 수 있게 하는 빨간불이 될 것이며, 삼성전자에서의 저의 본분을 잊지 않게 해줄 것입니다. 또한 늘 함께 가지고 성장했던 성실함과 꾸준함이라는 무기로 삼성전자에서 반도체 분야의 전문가가 되어 역량을 발휘하겠습니다.                         1,557자2,649                    "
"2013년 1월에 미국 Las Vegas에서 개최하는 CES(세계가전박람회)를 Buyer자격으로 참관하며 삼성취업의 꿈을 갖게 되었습니다. 그 곳에서 전 세계의 다양한 기업들이 최고수준의 기술을 전시하였고 이를 미리 체험할 수 있었습니다. 세계최대의 전자제품 전시회인 CES에서 가장 큰 크기의 부스를 차지하고 있는 SAMSUNG을 보고선 세계 속의 삼성의 위상을 느낄 수 있었습니다. 당시 삼성에서는 업계를 이끌고 있는 최고의 제품을 다양한 IT기술을 접목시켜 전시하고 있었습니다. 컴퓨터를 전공하는 학생으로 IT기술이 다양한 제품들과의 융합으로 사용될 수 있다는 것은 제 심장을 뛰게 만들었습니다. 또한, ‘삼성’이 CES에서 미치는 영향력을 직접 확인할 수 있는 좋은 기회였습니다. ‘세계 속의 삼성’을 느끼며 ‘삼성속의 나’를 생각해보았고 ‘세계 속의 나’라는 목표를 삼성전자에서 이루고 싶어 삼성전자에 지원하게 되었습니다.삼성의 S/W 개발자로 입사 후 가장 큰 목표는 제가 맡은 제품 CES에 전시되어 다시 CES에 참가하는 것입니다. 제가 개발에 참여한 제품이 CES에서 가장 빛나고 있을 것을 확신하고 이를 직접 확인하고 싶습니다. 그리고 이 제품들이 대한민국과 세계의 IT 학도의 가슴을 뛰게 하여 삼성전자 입사를 꿈꾸게 하고 싶습니다.                         665자1,100                    "
